,Job #,Doc #,Borough,Initial Cost,Total Est. Fee,Existing Zoning Sqft,Proposed Zoning Sqft,Enlargement SQ Footage,Street Frontage,ExistingNo. of Stories,Proposed No. of Stories,Existing Height,Proposed Height
0,121577873,2,MANHATTAN,$75000.00,$986.00,0,0,0,0,0,0,0,0
1,520129502,1,STATEN ISLAND,$0.00,$1144.00,0,0,0,143,0,0,0,0
2,121601560,1,MANHATTAN,$30000.00,$522.50,0,0,0,0,5,5,54,54
3,121601203,1,MANHATTAN,$1500.00,$225.00,0,0,0,0,12,12,120,120
4,121601338,1,MANHATTAN,$19500.00,$389.50,0,0,0,0,6,6,64,64
5,121589753,1,MANHATTAN,$3062400.00,$31762.40,0,0,0,0,102,102,1250,1250
6,320738001,1,BROOKLYN,$10000.00,$316.50,0,0,0,0,3,3,36,36
7,121601374,1,MANHATTAN,$146800.00,$1727.60,0,0,0,0,27,27,300,300
8,121583054,1,MANHATTAN,$0.00,$160.00,0,0,0,0,34,34,398,398
9,121601392,1,MANHATTAN,$5000.00,$265.00,0,0,0,0,1,1,16,16
10,121601169,1,MANHATTAN,$21200.00,$440.10,0,0,0,0,6,6,60,60
11,420828206,1,QUEENS,$20000.00,$419.50,0,0,0,0,3,3,28,28
12,420828493,1,QUEENS,$37600.00,$764.90,0,0,0,0,1,1,15,15
13,440075142,1,QUEENS,$10000.00,$316.50,0,0,0,0,1,1,12,12
14,420836723,1,QUEENS,$3000.00,$280.00,14683,4791,0,0,1,1,15,15
15,121584525,1,MANHATTAN,$0.00,$472.00,0,0,0,30,4,0,45,0
16,121600311,1,MANHATTAN,$94000.00,$1181.70,0,0,0,0,6,6,75,75
17,320744290,1,BROOKLYN,$5000.00,$265.00,0,0,0,0,4,4,52,52
18,320744557,1,BROOKLYN,$7500.00,$295.90,0,0,0,0,1,1,24,24
19,320744370,1,BROOKLYN,$20000.00,$207.25,0,0,0,0,2,2,25,25
20,220286232,1,BRONX,$1000.00,$225.00,0,0,0,0,11,11,101,101
21,121599779,1,MANHATTAN,$0.00,$160.00,0,0,0,0,40,40,520,520
22,420837401,1,QUEENS,$67000.00,$1063.60,0,0,0,0,2,2,26,26
23,220286287,1,BRONX,$70000.00,$934.50,0,0,0,0,3,3,60,60
24,240024362,1,BRONX,$0.00,$440.00,0,0,0,0,18,18,180,180
25,320744316,1,BROOKLYN,$11000.00,$326.80,0,0,0,0,3,3,33,33
26,121601249,3,MANHATTAN,$16000.00,$378.30,0,0,0,0,0,0,0,0
27,121592605,1,MANHATTAN,$41000.00,$635.80,0,0,0,0,43,43,546,546
28,121577873,1,MANHATTAN,$509500.00,$5466.50,0,0,0,0,20,20,200,200
29,520129496,1,STATEN ISLAND,$12238.00,$347.40,0,0,0,0,1,1,15,15
30,121562996,1,MANHATTAN,$3500.00,$245.00,0,0,0,0,33,33,360,360
31,320744307,1,BROOKLYN,$5000.00,$265.00,0,0,0,0,4,4,45,45
32,420805597,2,QUEENS,$0.00,$157.00,0,0,0,0,0,0,0,0
33,121601249,1,MANHATTAN,$30000.00,$522.50,0,0,0,0,39,39,432,432
34,121592632,1,MANHATTAN,$10000.00,$316.50,0,0,0,0,41,41,432,432
35,220286205,1,BRONX,$344584.00,$3767.00,0,0,0,0,6,6,59,59
36,121481770,1,MANHATTAN,$9000.00,$306.20,0,0,0,0,12,12,150,150
37,121601533,1,MANHATTAN,$130000.00,$1552.50,0,0,0,0,15,15,180,180
38,220286330,1,BRONX,$15000.00,$368.00,0,0,0,0,2,2,30,30
39,140073453,1,MANHATTAN,$0.00,$180.00,0,0,0,0,6,6,60,60
40,220283057,1,BRONX,$120000.00,$1664.50,3375,3375,0,0,3,3,35,35
41,520129389,1,STATEN ISLAND,$0.00,$539.44,0,1921,0,0,0,3,0,25
42,402890403,4,QUEENS,$19320.00,$419.50,0,0,0,0,0,0,0,0
43,520129398,1,STATEN ISLAND,$0.00,$576.04,0,2094,0,0,0,3,0,25
44,121600339,1,MANHATTAN,$30000.00,$522.50,0,0,0,0,6,6,75,75
45,121600320,1,MANHATTAN,$25000.00,$471.00,0,0,0,0,6,6,75,75
46,240024344,1,BRONX,$0.00,$240.00,0,0,0,0,13,13,130,130
47,121601347,1,MANHATTAN,$10000.00,$476.50,0,0,0,0,5,5,60,60
48,121600231,1,MANHATTAN,$0.00,$160.00,0,0,0,0,20,20,210,210
49,220210536,1,BRONX,$40625.00,$315.40,0,0,0,0,3,3,26,26
50,520133338,1,STATEN ISLAND,$16108.00,$191.80,0,0,0,0,2,2,24,24
51,520129352,1,STATEN ISLAND,$0.00,$621.04,0,2372,0,0,0,3,0,25
52,240024415,1,BRONX,$0.00,$230.00,0,0,0,0,6,6,60,60
53,140073523,1,MANHATTAN,$0.00,$170.00,0,0,0,0,4,4,56,56
54,121600767,1,MANHATTAN,$85000.00,$1089.00,0,0,0,0,15,15,115,115
55,121600446,1,MANHATTAN,$10000.00,$316.50,0,0,0,0,28,28,342,342
56,121601221,1,MANHATTAN,$24000.00,$460.70,0,0,0,0,39,39,432,432
57,140073417,1,MANHATTAN,$0.00,$180.00,0,0,0,0,7,7,96,96
58,121601356,1,MANHATTAN,$10000.00,$476.50,0,0,0,0,5,5,60,60
59,420828983,1,QUEENS,$0.00,$160.00,0,0,0,0,1,1,28,28
60,121601365,1,MANHATTAN,$5000.00,$265.00,0,0,0,0,5,5,53,53
61,320744469,1,BROOKLYN,$24278.00,$631.00,0,0,0,0,3,3,35,35
62,320517525,1,BROOKLYN,$600000.00,$6448.50,4842,4842,0,0,3,3,40,40
63,220286189,1,BRONX,$321520.00,$3530.10,0,0,0,0,5,5,53,53
64,121577873,3,MANHATTAN,$136000.00,$1614.30,0,0,0,0,0,0,0,0
65,121598280,3,MANHATTAN,$15000.00,$368.00,0,0,0,0,0,0,0,0
66,520133329,1,STATEN ISLAND,$32940.00,$274.20,0,0,0,0,2,2,21,21
67,121601524,1,MANHATTAN,$13200.00,$357.70,0,0,0,0,6,6,62,62
68,140073541,1,MANHATTAN,$0.00,$240.00,0,0,0,0,14,14,113,113
69,240024406,1,BRONX,$7500.00,$295.90,0,0,0,0,6,6,65,65
70,220286250,1,BRONX,$0.00,$210.00,0,0,0,0,6,6,65,65
71,220286214,1,BRONX,$160000.00,$1861.50,0,0,0,0,16,16,237,237
72,520129012,1,STATEN ISLAND,$0.00,$260.00,0,1,0,0,0,1,0,12
73,520129370,1,STATEN ISLAND,$0.00,$458.56,0,1640,0,0,0,3,0,25
74,520129325,1,STATEN ISLAND,$0.00,$587.68,0,2165,0,0,0,3,0,25
75,220286312,1,BRONX,$85000.00,$1089.00,0,0,0,0,1,1,16,16
76,440075482,1,QUEENS,$37800.00,$604.90,0,0,0,0,2,2,20,20
77,121603470,1,MANHATTAN,$0.00,$200.00,0,0,0,0,0,0,0,0
78,121601196,1,MANHATTAN,$6900.00,$140.30,0,0,0,0,5,5,60,60
79,121601249,2,MANHATTAN,$175000.00,$2016.00,0,0,0,0,0,0,0,0
80,121601418,1,MANHATTAN,$3000.00,$225.00,0,0,0,0,4,4,44,44
81,121601061,1,MANHATTAN,$19695.00,$419.50,0,0,0,0,42,42,478,478
82,121598299,1,MANHATTAN,$17500.00,$398.90,0,0,0,0,6,6,97,97
83,121598306,1,MANHATTAN,$42300.00,$656.40,0,0,0,0,6,6,97,97
84,121598280,2,MANHATTAN,$290000.00,$3200.50,0,0,0,0,0,0,0,0
85,121600678,2,MANHATTAN,$360000.00,$3921.50,0,0,0,0,0,0,0,0
86,320743978,1,BROOKLYN,$23920.00,$460.70,0,0,0,0,3,3,30,30
87,140073266,1,MANHATTAN,$12200.00,$347.40,0,0,0,0,5,5,50,50
88,320749650,1,BROOKLYN,$212300.00,$3029.20,2466,4160,2180,0,2,4,27,50
89,320726880,2,BROOKLYN,$0.00,$0.00,0,0,0,0,0,0,0,0
90,121601472,1,MANHATTAN,$50000.00,$728.50,0,0,0,0,7,7,70,70
91,440075240,1,QUEENS,$5000.00,$265.00,0,0,0,0,1,1,16,16
92,520129414,1,STATEN ISLAND,$0.00,$726.64,0,3060,0,0,0,3,0,25
93,520129343,1,STATEN ISLAND,$0.00,$548.92,0,1943,0,0,0,3,0,25
94,440075491,1,QUEENS,$0.00,$230.00,0,0,0,0,16,16,160,160
95,121600954,1,MANHATTAN,$594000.00,$6386.70,291894,291894,0,0,20,20,175,175
96,320725499,1,BROOKLYN,$0.00,$160.00,0,0,0,0,2,2,40,40
97,121601025,1,MANHATTAN,$3000.00,$130.00,0,0,0,0,5,5,62,62
98,320743610,1,BROOKLYN,$13250.00,$327.70,0,0,0,0,5,5,55,55
99,121600847,1,MANHATTAN,$33750.00,$563.70,0,0,0,0,7,7,65,65
100,320743898,1,BROOKLYN,$173050.00,$1000.35,0,0,0,0,3,3,29,29
101,121597192,1,MANHATTAN,$17000.00,$388.60,0,0,0,0,12,12,165,165
102,420828215,1,QUEENS,$50000.00,$586.59,1800,2200,207,0,2,2,29,29
103,220286269,1,BRONX,$47900.00,$762.90,52889,52889,0,0,6,6,66,66
104,320736628,1,BROOKLYN,$30000.00,$522.50,0,0,0,0,2,2,22,22
105,320740105,1,BROOKLYN,$49500.00,$950.64,2778,3017,239,0,2,2,24,24
106,121603782,1,MANHATTAN,$55700.00,$790.30,0,0,0,0,51,51,662,662
107,320517507,1,BROOKLYN,$600000.00,$6448.50,4356,4356,0,0,3,3,41,41
108,140073355,1,MANHATTAN,$90000.00,$1140.50,0,0,0,0,17,17,200,200
109,121600981,1,MANHATTAN,$51000.00,$738.80,0,0,0,0,9,9,86,86
110,140073391,1,MANHATTAN,$0.00,$170.00,0,0,0,0,5,5,55,55
111,420828359,2,QUEENS,$55000.00,$780.00,0,0,0,0,0,0,0,0
112,121330764,2,MANHATTAN,$0.00,$0.00,0,0,0,0,0,0,0,0
113,121601230,1,MANHATTAN,$5000.00,$265.00,0,0,0,0,40,40,515,515
114,121589753,2,MANHATTAN,$637600.00,$6784.90,0,0,0,0,0,0,0,0
115,520129478,1,STATEN ISLAND,$25000.00,$471.00,0,0,0,0,1,1,30,30
116,240024353,1,BRONX,$0.00,$450.00,0,0,0,0,18,18,180,180
117,340054755,1,BROOKLYN,$8000.00,$295.90,0,0,0,0,2,2,28,28
118,240024380,1,BRONX,$2000.00,$225.00,0,0,0,0,6,6,60,60
119,103643862,1,MANHATTAN,$0.00,$160.00,0,0,0,0,4,4,49,49
120,320740686,1,BROOKLYN,$105600.00,$690.15,3760,3760,0,0,4,4,37,37
121,121577855,1,MANHATTAN,$20000.00,$419.50,0,0,0,0,20,20,200,200
122,220286223,1,BRONX,$113944.00,$1387.70,0,0,0,0,5,5,54,54
123,340054835,1,BROOKLYN,$43000.00,$816.40,0,0,0,0,3,3,35,35
124,320744129,1,BROOKLYN,$16000.00,$186.65,0,0,0,0,3,3,28,28
125,121600696,1,MANHATTAN,$28000.00,$501.90,0,0,0,0,5,5,55,55
126,320745627,1,BROOKLYN,$0.00,$160.00,0,0,0,0,5,5,53,53
127,140073300,1,MANHATTAN,$6600.00,$285.60,0,0,0,0,38,38,395,395
128,320743987,1,BROOKLYN,$54000.00,$769.70,0,0,0,0,3,3,30,30
129,140073499,1,MANHATTAN,$184033.00,$2119.00,0,0,0,0,30,30,190,190
130,320517534,1,BROOKLYN,$375000.00,$4131.00,2584,2584,0,0,4,4,35,35
131,520129334,1,STATEN ISLAND,$0.00,$647.80,0,2485,0,0,0,3,0,25
132,340054773,1,BROOKLYN,$60000.00,$573.25,0,0,0,0,2,2,24,24
133,220286385,1,BRONX,$32375.00,$553.40,0,0,0,0,1,1,15,15
134,220286376,1,BRONX,$152250.00,$1789.40,0,0,0,0,1,1,15,15
135,440075400,1,QUEENS,$25000.00,$233.00,0,0,0,0,2,2,30,30
136,340054826,1,BROOKLYN,$42570.00,$656.40,0,0,0,0,17,17,204,204
137,520133310,1,STATEN ISLAND,$19764.00,$207.25,0,0,0,0,2,2,24,24
138,121567250,1,MANHATTAN,$20000.00,$419.50,0,0,0,0,5,5,81,81
139,121600678,1,MANHATTAN,$200000.00,$2273.50,0,0,0,0,6,6,90,90
140,121585873,1,MANHATTAN,$25000.00,$471.00,0,0,0,0,9,9,90,90
141,121603737,1,MANHATTAN,$252000.00,$2809.10,0,0,0,0,28,28,342,342
142,340054817,1,BROOKLYN,$51900.00,$372.05,0,0,0,0,2,2,22,22
143,320744227,1,BROOKLYN,$1500.00,$225.00,0,0,0,0,6,6,60,60
144,121600099,1,MANHATTAN,$229105.00,$2582.50,0,0,0,0,16,16,160,160
145,140073444,1,MANHATTAN,$26595.00,$491.60,0,0,0,0,21,21,190,190
146,140073471,1,MANHATTAN,$136523.00,$1784.60,0,0,0,0,13,13,208,208
147,520129316,1,STATEN ISLAND,$0.00,$587.68,0,2165,0,0,0,3,0,25
148,220286198,1,BRONX,$95000.00,$1192.00,0,0,0,0,1,1,21,21
149,140073505,1,MANHATTAN,$261700.00,$2912.10,0,0,0,0,26,26,336,336
150,121598280,1,MANHATTAN,$1066000.00,$11193.30,0,0,0,0,6,6,97,97
151,520129361,1,STATEN ISLAND,$0.00,$599.20,0,2253,0,0,0,3,0,25
152,302568086,1,BROOKLYN,$38000.00,$604.90,0,0,0,0,5,5,85,85
153,520129414,2,STATEN ISLAND,$0.00,$160.00,0,0,0,0,0,0,0,0
154,520128139,2,STATEN ISLAND,$0.00,$160.00,0,0,0,0,0,0,0,0
155,340054808,1,BROOKLYN,$78470.00,$1027.20,0,0,0,0,3,3,36,36
156,440075507,1,QUEENS,$0.00,$340.00,0,0,0,0,16,16,160,160
157,140073514,1,MANHATTAN,$0.00,$160.00,0,0,0,0,4,4,56,56
158,140073532,1,MANHATTAN,$0.00,$160.00,0,0,0,0,14,14,113,113
159,140073550,1,MANHATTAN,$58050.00,$821.20,0,0,0,0,8,8,96,96
160,121600491,1,MANHATTAN,$9200.00,$316.50,0,0,0,0,5,5,55,55
161,121594907,1,MANHATTAN,$731555.00,$7913.10,0,0,0,0,5,5,58,58
162,320754787,1,BROOKLYN,$0.00,$200.00,0,0,0,0,0,0,0,0
163,121600366,1,MANHATTAN,$23500.00,$460.70,0,0,0,0,5,5,60,60
164,121599591,1,MANHATTAN,$10000.00,$476.50,0,0,0,0,12,12,138,138
165,121599822,1,MANHATTAN,$92700.00,$1171.40,0,0,0,0,20,20,260,260
166,121600455,1,MANHATTAN,$350000.00,$3818.50,0,0,0,0,5,5,71,71
167,220286152,1,BRONX,$0.00,$190.00,0,0,0,0,0,0,0,0
168,121600507,1,MANHATTAN,$28000.00,$501.90,0,0,0,0,16,16,245,245
169,420837358,1,QUEENS,$0.00,$200.00,0,0,0,0,0,0,0,0
170,340054657,1,BROOKLYN,$0.00,$170.00,0,0,0,0,3,3,30,30
171,121559731,2,MANHATTAN,$18000.00,$398.90,0,0,0,0,0,0,0,0
172,320575739,1,BROOKLYN,$30000.00,$522.50,0,0,0,0,1,1,15,15
173,121600534,1,MANHATTAN,$73435.00,$975.70,0,0,0,0,12,12,120,120
174,320746485,1,BROOKLYN,$236220.00,$2654.60,0,0,0,0,4,4,44,44
175,320517473,1,BROOKLYN,$0.00,$1807.88,0,5006,0,0,0,4,0,40
176,320746234,1,BROOKLYN,$502870.00,$4361.34,1074,8032,12222,0,3,3,35,37
177,420828135,1,QUEENS,$0.00,$160.00,0,0,0,0,25,25,258,258
178,121563968,2,MANHATTAN,$187700.00,$2149.90,0,0,0,0,0,0,0,0
179,320738984,1,BROOKLYN,$8500.00,$306.20,0,0,0,0,4,4,55,55
180,121597851,1,MANHATTAN,$705000.00,$7475.00,0,0,0,0,24,24,320,320
181,320744021,1,BROOKLYN,$3000.00,$225.00,0,0,0,0,1,1,15,15
182,121331594,1,MANHATTAN,$3000.00,$225.00,0,0,0,0,35,35,385,385
183,320743941,1,BROOKLYN,$0.00,$260.00,0,0,0,40,1,0,12,0
184,520125980,1,STATEN ISLAND,$0.00,$200.00,0,0,0,0,0,0,0,0
185,520128558,1,STATEN ISLAND,$0.00,$200.00,0,0,0,0,0,0,0,0
186,420832424,1,QUEENS,$0.00,$497.00,0,1500,0,0,0,1,0,21
187,121597441,1,MANHATTAN,$56000.00,$790.30,0,0,0,0,20,20,260,260
188,121597450,1,MANHATTAN,$42000.00,$646.10,0,0,0,0,4,4,83,83
189,121599831,1,MANHATTAN,$500000.00,$5523.50,0,0,0,0,24,24,259,259
190,121599467,1,MANHATTAN,$33368.00,$563.70,0,0,0,0,44,44,440,440
191,121597343,1,MANHATTAN,$19349.00,$419.50,0,0,0,0,4,4,83,83
192,121563968,1,MANHATTAN,$1221300.00,$12800.10,0,0,0,0,11,11,159,159
193,320743914,1,BROOKLYN,$16000.00,$378.30,0,0,0,0,4,4,40,40
194,121600525,1,MANHATTAN,$489000.00,$5250.20,0,0,0,0,5,5,50,50
195,121603773,1,MANHATTAN,$28900.00,$512.20,0,0,0,0,11,11,159,159
196,420828153,1,QUEENS,$500000.00,$5363.50,0,0,0,0,2,2,30,30
197,121331585,1,MANHATTAN,$0.00,$6216.00,0,0,0,777,0,0,0,0
198,420808031,1,QUEENS,$25000.00,$471.00,0,0,0,0,1,1,25,25
199,320745761,1,BROOKLYN,$70700.00,$944.80,0,0,0,0,2,2,32,32
200,121599528,1,MANHATTAN,$5600.00,$275.30,0,0,0,0,44,44,440,440
201,121471861,1,MANHATTAN,$29000.00,$512.20,0,0,0,0,24,24,320,320
202,320744012,1,BROOKLYN,$30000.00,$320.31,3127,3640,513,0,2,2,28,29
203,140073293,1,MANHATTAN,$0.00,$160.00,0,0,0,0,12,12,120,120
204,520129245,1,STATEN ISLAND,$5000.00,$130.00,0,0,0,0,2,2,31,31
205,121523486,1,MANHATTAN,$0.00,$487.60,0,0,0,21,6,0,60,0
206,320743086,1,BROOKLYN,$11000.00,$326.80,0,0,0,0,3,3,35,35
207,420833959,1,QUEENS,$0.00,$160.00,0,0,0,0,0,0,0,0
208,121600543,1,MANHATTAN,$0.00,$130.00,0,0,0,0,4,4,40,40
209,320745734,1,BROOKLYN,$0.00,$180.00,0,0,0,0,7,7,70,70
210,320745770,1,BROOKLYN,$0.00,$160.00,0,0,0,0,7,7,70,70
211,220286161,1,BRONX,$344584.00,$3767.00,0,0,0,0,6,6,59,59
212,320742746,1,BROOKLYN,$0.00,$200.00,0,0,0,0,0,0,0,0
213,121523477,1,MANHATTAN,$0.00,$420.00,0,0,0,30,3,0,50,0
214,121597469,1,MANHATTAN,$17000.00,$388.60,0,0,0,0,4,4,83,83
215,121597254,1,MANHATTAN,$1000.00,$225.00,0,0,0,0,25,25,250,250
216,320728726,1,BROOKLYN,$0.00,$100.00,0,0,0,0,0,0,0,0
217,320743923,1,BROOKLYN,$17000.00,$191.80,0,0,0,0,2,2,25,25
218,420828162,1,QUEENS,$5000.00,$130.00,0,0,0,0,2,2,25,25
219,121598823,1,MANHATTAN,$52000.00,$749.10,0,0,0,0,18,18,210,210
220,121600589,1,MANHATTAN,$84000.00,$1078.70,0,0,0,0,13,13,104,104
221,121600516,1,MANHATTAN,$32000.00,$543.10,0,0,0,0,16,16,245,245
222,121600641,1,MANHATTAN,$50000.00,$728.50,0,0,0,0,12,12,150,150
223,320744076,1,BROOKLYN,$78000.00,$1016.90,0,0,0,0,4,4,55,55
224,320743996,1,BROOKLYN,$18000.00,$398.90,0,0,0,0,3,3,30,30
225,420828144,1,QUEENS,$38775.00,$775.20,0,0,0,0,3,3,30,30
226,121600650,1,MANHATTAN,$2000.00,$225.00,0,0,0,0,4,4,35,35
227,121597842,1,MANHATTAN,$23000.00,$450.40,0,0,0,0,24,24,320,320
228,121600669,1,MANHATTAN,$20000.00,$389.50,0,0,0,0,4,4,36,36
229,220286170,1,BRONX,$344584.00,$3767.00,0,0,0,0,6,6,59,59
230,121600794,1,MANHATTAN,$0.00,$100.00,0,0,0,0,0,0,0,0
231,320744003,1,BROOKLYN,$13000.00,$402.40,9920,9920,0,0,4,4,43,43
232,320744049,1,BROOKLYN,$55000.00,$940.00,0,0,0,0,3,3,35,35
233,520129218,1,STATEN ISLAND,$0.00,$528.00,0,0,0,66,0,0,0,0
234,320744030,1,BROOKLYN,$0.00,$260.00,0,0,0,40,1,0,12,0
235,121600632,1,MANHATTAN,$30000.00,$522.50,0,0,0,0,12,12,130,130
236,121331610,1,MANHATTAN,$346600.00,$5853.18,6932,13399,7733,0,4,7,43,75
237,121601016,1,MANHATTAN,$73650.00,$975.70,0,0,0,0,26,26,254,254
238,420835378,1,QUEENS,$65000.00,$675.00,1500,1750,300,0,2,2,21,21
239,121603764,1,MANHATTAN,$8000.00,$295.90,0,0,0,0,18,18,210,210
240,140073319,1,MANHATTAN,$220250.00,$1242.40,0,0,0,0,4,4,40,40
241,420830382,1,QUEENS,$20000.00,$207.25,0,0,0,0,1,1,13,13
242,121600179,1,MANHATTAN,$50000.00,$728.50,0,0,0,0,15,15,165,165
243,520129441,1,STATEN ISLAND,$57000.00,$800.60,0,0,0,0,2,2,24,24
244,320743629,1,BROOKLYN,$8000.00,$265.90,0,0,0,0,4,4,45,45
245,220242468,1,BRONX,$324000.00,$3550.70,0,0,0,0,1,1,21,21
246,340054666,1,BROOKLYN,$55600.00,$392.65,0,0,0,0,3,3,35,35
247,320744110,1,BROOKLYN,$0.00,$100.00,0,0,0,0,0,0,0,0
248,121600614,1,MANHATTAN,$6000.00,$275.30,0,0,0,0,35,35,485,485
249,520129290,1,STATEN ISLAND,$800000.00,$8453.50,0,0,0,0,2,2,27,27
250,121325823,4,MANHATTAN,$0.00,$0.00,0,0,0,0,0,0,0,0
251,121600302,1,MANHATTAN,$300000.00,$3463.50,0,0,0,0,6,6,91,91
252,320730447,1,BROOKLYN,$5010.00,$275.30,0,0,0,0,4,4,40,40
253,121600598,2,MANHATTAN,$39500.00,$625.50,0,0,0,0,0,0,0,0
254,121600963,1,MANHATTAN,$0.00,$3687.42,0,10706,0,0,0,6,0,70
255,320737583,1,BROOKLYN,$30000.00,$258.75,0,0,0,0,3,3,35,35
256,320725505,1,BROOKLYN,$0.00,$160.00,0,0,0,0,4,4,85,85
257,121600776,2,MANHATTAN,$72000.00,$955.10,0,0,0,0,0,0,0,0
258,320747439,1,BROOKLYN,$34800.00,$574.00,0,0,0,0,4,4,45,45
259,320743763,1,BROOKLYN,$3000.00,$225.00,0,0,0,0,3,3,36,36
260,121603791,1,MANHATTAN,$15600.00,$378.30,0,0,0,0,4,4,92,92
261,121600703,1,MANHATTAN,$49000.00,$718.20,0,0,0,0,15,15,150,150
262,520129281,1,STATEN ISLAND,$26444.00,$336.42,7912,8966,776,0,3,3,35,35
263,420837072,1,QUEENS,$6500.00,$140.30,0,0,0,0,2,2,21,21
264,320745609,1,BROOKLYN,$152000.00,$1834.10,5430,5430,0,0,3,3,30,30
265,121600936,2,MANHATTAN,$127000.00,$1521.60,0,0,0,0,0,0,0,0
266,420607365,1,QUEENS,$0.00,$504.00,0,0,0,63,0,0,0,0
267,320743932,1,BROOKLYN,$0.00,$420.00,0,0,0,40,2,0,24,0
268,121464432,1,MANHATTAN,$14000.00,$357.70,0,0,0,0,19,19,154,154
269,121600767,2,MANHATTAN,$25000.00,$471.00,0,0,0,0,0,0,0,0
270,320744138,1,BROOKLYN,$225000.00,$2531.00,0,0,0,0,14,14,136,136
271,340054675,1,BROOKLYN,$15000.00,$368.00,0,0,0,0,2,2,28,28
272,121600945,1,MANHATTAN,$58500.00,$821.20,0,0,0,0,32,32,322,322
273,320747082,1,BROOKLYN,$160512.00,$1315.32,1668,3184,1516,0,2,2,25,35
274,121597851,2,MANHATTAN,$69000.00,$924.20,0,0,0,0,0,0,0,0
275,121600678,3,MANHATTAN,$22500.00,$450.40,0,0,0,0,0,0,0,0
276,121600918,1,MANHATTAN,$65000.00,$853.00,0,0,0,0,6,6,58,58
277,121601007,1,MANHATTAN,$3000.00,$225.00,0,0,0,0,5,5,55,55
278,121600623,2,MANHATTAN,$12500.00,$347.40,0,0,0,0,0,0,0,0
279,320536684,2,BROOKLYN,$0.00,$0.00,0,0,0,0,0,0,0,0
280,320745743,1,BROOKLYN,$0.00,$160.00,0,0,0,0,7,7,70,70
281,121331601,1,MANHATTAN,$3000.00,$225.00,0,0,0,0,35,35,385,385
282,520133301,1,STATEN ISLAND,$75000.00,$734.30,1352,1719,365,0,2,2,20,21
283,121600605,1,MANHATTAN,$12350.00,$347.40,0,0,0,0,12,12,128,128
284,121600936,1,MANHATTAN,$225675.00,$2541.30,0,0,0,0,4,4,52,52
285,121600623,1,MANHATTAN,$40000.00,$625.50,0,0,0,0,35,35,500,500
286,420828171,1,QUEENS,$20000.00,$419.50,0,0,0,0,6,6,70,70
287,121599680,1,MANHATTAN,$1000.00,$225.00,0,0,0,0,7,7,120,120
288,420828180,1,QUEENS,$0.00,$10955.72,0,29962,0,0,0,6,0,70
289,121600838,1,MANHATTAN,$50000.00,$728.50,0,0,0,0,42,42,519,519
290,121589842,1,MANHATTAN,$12200.00,$347.40,0,0,0,0,5,5,50,50
291,420556801,1,QUEENS,$0.00,$752.36,0,2402,0,0,0,2,0,21
292,121600856,2,MANHATTAN,$22500.00,$450.40,0,0,0,0,0,0,0,0
293,520129432,1,STATEN ISLAND,$68000.00,$454.45,0,0,0,0,2,2,23,23
294,320744183,1,BROOKLYN,$25000.00,$471.00,0,0,0,0,5,5,70,70
295,420828233,1,QUEENS,$46300.00,$697.60,0,0,0,0,4,4,44,44
296,121589986,1,MANHATTAN,$1000.00,$225.00,0,0,0,0,13,13,165,165
297,121601150,1,MANHATTAN,$0.00,$160.00,0,0,0,0,6,6,65,65
298,121601098,1,MANHATTAN,$10000.00,$476.50,0,0,0,0,5,5,50,50
299,121600856,1,MANHATTAN,$145870.00,$1717.30,0,0,0,0,12,12,108,108
300,420828224,1,QUEENS,$13000.00,$347.40,0,0,0,0,3,3,30,30
301,320742906,1,BROOKLYN,$0.00,$615.00,0,0,0,175,1,0,12,0
302,340054700,1,BROOKLYN,$8000.00,$295.90,0,0,0,0,2,2,28,28
303,121601132,1,MANHATTAN,$10000.00,$316.50,0,0,0,0,5,5,55,55
304,121601141,1,MANHATTAN,$4000.00,$130.00,0,0,0,0,5,5,50,50
305,320747778,1,BROOKLYN,$15000.00,$368.00,0,0,0,0,23,23,225,225
306,121600810,2,MANHATTAN,$35000.00,$574.00,0,0,0,0,0,0,0,0
307,320720733,1,BROOKLYN,$43000.00,$983.06,2691,3332,641,0,3,3,33,33
308,520129423,1,STATEN ISLAND,$0.00,$160.00,0,0,0,0,1,1,20,20
309,420557891,1,QUEENS,$0.00,$740.36,0,2336,0,0,0,2,0,21
310,320744147,1,BROOKLYN,$276750.00,$3066.60,0,0,0,0,3,3,30,30
311,121600972,1,MANHATTAN,$100000.00,$1243.50,0,0,0,0,20,20,178,178
312,320742808,3,BROOKLYN,$0.00,$0.00,0,0,0,0,0,0,0,0
313,240024326,1,BRONX,$18000.00,$368.90,0,0,0,0,6,6,60,60
314,320744192,1,BROOKLYN,$32500.00,$434.20,0,0,0,0,2,2,25,25
315,121584534,1,MANHATTAN,$0.00,$784.00,0,0,0,60,4,0,60,0
316,320517348,2,BROOKLYN,$0.00,$0.00,0,0,0,0,0,0,0,0
317,420828359,1,QUEENS,$55000.00,$780.00,0,0,0,0,15,15,154,154
318,220286278,1,BRONX,$175000.00,$1005.50,0,0,0,0,2,2,35,35
319,121600598,1,MANHATTAN,$490980.00,$5270.80,0,0,0,0,12,12,128,128
320,420828297,1,QUEENS,$100.00,$280.00,4497,4497,0,0,2,2,20,20
321,320744094,1,BROOKLYN,$37700.00,$299.95,0,0,0,0,4,4,32,32
322,320744058,1,BROOKLYN,$0.00,$160.00,0,0,0,0,3,3,31,31
